Symbol,Name
IBO,IBO (Listing Market - NYSE Amex Network B F)
IEC,IEC Electronics Corp.
IG,"IGI Laboratories, Inc."
IMUC,"ImmunoCellular Therapeutics, Ltd."
IMH,"Impac Mortgage Holdings, Inc."
IMO,Imperial Oil Limited
IOT,"Income Opportunity Realty Investors, Inc."
IRT,"Independence Realty Trust, Inc."
IGC,India Globalization Capital Inc.
IGC/WS,India Globalization Capital Inc.
INFU,"InfuSystems Holdings, Inc."
IHT,InnSuites Hospitality Trust
NSPR,"InspireMD, Inc."
IFMI,"Institutional Financial Markets, Inc."
IDN,"Intellicheck Mobilisa, Inc."
INS,Intelligent Systems Corporation
THM,International Tower Hill Mines Ltd
INTT,inTest Corporation
INUV,"Inuvo, Inc"
VKI,Invesco Advantage Municipal Income Trust II
ISR,"IsoRay, Inc."
ISDR,Issuer Direct Corporation
ITI,"Iteris, Inc."
KIQ,Kelso Technologies Inc
LTS,Ladenburg Thalmann Financial Services Inc
LTS^A,Ladenburg Thalmann Financial Services Inc
LSG,Lake Shore Gold Corp
LAQ,"Latin America Equity Fund, Inc. (The)"
LGL,"LGL Group, Inc. (The)"
LGL/WS,"LGL Group, Inc. (The)"
LBY,"Libbey, Inc."
LBMH,"Liberator Medical Holdings, Inc."
LIQT,"LiqTech International, Inc."
LEI,"Lucas Energy, Inc."
MCZ,Mad Catz Interactive Inc
MVG,Mag Silver Corporation
MHR^C,Magnum Hunter Resources Corporation
MHR^D,Magnum Hunter Resources Corporation
MHR^E,Magnum Hunter Resources Corporation
MSTX,"Mast Therapeutics, Inc."
MHH,"Mastech Holdings, Inc"
MDGN,"Medgenics, Inc."
MDGN/WS,"Medgenics, Inc."
IPB,"Merrill Lynch & Co., Inc."
MEA,Metalico Inc
MXC,Mexco Energy Corporation
CCA,MFS California Insured Municipal Trust
MGT,MGT Capital Investments Inc
MDW,Midway Gold Corporation
MGH,Minco Gold Corporation
MGN,"Mines Management, Inc."
MDM,Mountain Province Diamonds Inc.
MVF,"MuniVest Fund, Inc."
MZA,"MuniYield Arizona Fund, Inc."
NNVC,"NanoViricides, Inc."
NHC,National HealthCare Corporation
NHC^A,National HealthCare Corporation
NAVB,"Navidea Biopharmaceuticals, Inc."
NTIP,"Network-1 Technologies, Inc."
NBW,Neuberger Berman California Intermediate Municipal Fund Inc.
NHS,Neuberger Berman High Yield Strategies Fund
NBH,Neuberger Berman Intermediate Municipal Fund Inc.
NML,Neuberger Berman MLP Income Fund Inc.
NBO,Neuberger Berman New York Intermediate Municipal Fund Inc.
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc."
CUR,"Neuralstem, Inc."
UWN,"Nevada Gold & Casinos, Inc."
NSU,Nevsun Resources Ltd
GBR,"New Concept Energy, Inc"
NEN,New England Realty Associates Limited Partnership
NGD,NEW GOLD INC.
PAL,"North American Palladium, Ltd."
NAK,"Northern Dynasty Minerals, Ltd."
NOG,"Northern Oil and Gas, Inc."
NBY,"NovaBay Pharmaceuticals, Inc."
NCQ,NovaCopper Inc.
NG,Novagold Resources Inc.
NTN,"NTN Buzztime, Inc."
NVX,Nuveen California Dividend Advantage Municipal Fund 2
NZH,Nuveen California Dividend Advantage Municipal Fund 3
NCB,Nuveen California Municipal Value Fund 2
CFD,Nuveen Diversified Commodity Fund
NXZ,Nuveen Dividend Advantage Municipal Fund 2
NZF,Nuveen Dividend Advantage Municipal Fund 3
NVG,Nuveen Dividend Advantage Municipal Income Fund
CTF,Nuveen Long/Short Commodity Total Return Fund
NOM,Nuveen Missouri Premium Income Municipal Fund
NMZ,Nuveen Municipal High Income Opportunity Fund
NJV,Nuveen New Jersey Municipal Value Fund
NXK,Nuveen New York Dividend Advantage Municipal Fund 2
NYV,Nuveen New York Municipal Value Fund 2
NPN,Nuveen Pennsylvania Municipal Value Fund
JRS,Nuveen Real Estate Fund
OGEN,"Oragenics, Inc."
TIS,Orchids Paper Products Company
ONVO,"Organovo Holdings, Inc."
ONP,"Orient Paper, Inc."
OESX,"Orion Energy Systems, Inc."
OSGB,"Overseas Shipholding Group, Inc."
ORM,"Owens Realty Mortgage, Inc."
PHF,"Pacholder High Yield Fund, Inc."
PBM,Pacific Booker Minerals Inc
PCG^A,Pacific Gas & Electric Co.
PCG^B,Pacific Gas & Electric Co.
PCG^C,Pacific Gas & Electric Co.
PCG^D,Pacific Gas & Electric Co.
PCG^E,Pacific Gas & Electric Co.
PCG^G,Pacific Gas & Electric Co.
PCG^H,Pacific Gas & Electric Co.
PCG^I,Pacific Gas & Electric Co.
PTN,"Palatin Technologies, Inc."
PARR,Par Petroleum Corporation
PZG,Paramount Gold and Silver Corp.
PRK,Park National Corporation
PED,Pedevco Corp.
PFNX,Pfenex Inc.
PIP,"PharmAthene, Inc"
HNW,Pioneer Diversified High Income Trust
PLG,Platinum Group Metals Ltd.
PLM,Polymet Mining Corp.
PW,Power REIT
PW^A,Power REIT
APTS,"Preferred Apartment Communities, Inc."
PLX,"Protalix BioTherapeutics, Inc."
PVCT,"Provectus Biopharmaceuticals, Inc."
QRM,Quest Rare Minerals Ltd
RLGT,"Radiant Logistics, Inc."
RLGT^A,"Radiant Logistics, Inc."
REE,Rare Element Resources Ltd.
UTG,Reaves Utility Income Fund
REED,"Reeds, Inc."
RWC,RELM Wireless Corporation
RCG,"RENN Fund, Inc."
RVP,"Retractable Technologies, Inc."
RVM,"Revett Mining Company, Inc."
RNN,"Rexahn Pharmaceuticals, Inc."
RIC,"Richmont Mines, Inc."
REI,"Ring Energy, Inc."
RIF,RMR Real Estate Income Fund.
RPI,"Roberts Realty Investors, Inc."
RBY,Rubicon Minerals Corp
SGA,"Saga Communications, Inc."
SSN,Samson Oil & Gas Limited
SPP,Sanchez Production Partners LLC
SAND          ,Sandstorm Gold Ltd
SARA,Saratoga Resources Inc
SEB,Seaboard Corporation
SVT,"Servotronics, Inc."
SIF,"SIFCO Industries, Inc."
SVBL,"Silver Bull Resources, Inc."
SVLC,"SilverCrest Mines, Inc."
SKY,Skyline Corporation
SLI,"SL Industries, Inc."
XPL,Solitario Exploration & Royalty Corp
SCE^B,Southern California Edison Company
SCE^C,Southern California Edison Company
SCE^D,Southern California Edison Company
SCE^E,Southern California Edison Company
SGB,Southwest Georgia Financial Corporation
LOV,"Spark Networks, Inc."
STRP,Straight Path Communications Inc.
SSY,"SunLink Health Systems, Inc."
SDPI,"Superior Drilling Products, Inc."
STS,"Supreme Industries, Inc."
SYRG,Synergy Resources Corporation
SYN,"Synthetic Biologics, Inc"
TRX,Tanzanian Royalty Exploration Corporation
TGB,Taseko Mines Limited
TAS,Tasman Metals Ltd
TRC/WS,Tejon Ranch Co
TIK,Tel-Instrument Electronics Corp.
TGC,"Tengasco, Inc."
GLU,The Gabelli Global Utility and Income Trust
GLU^A,The Gabelli Global Utility and Income Trust
TXMD,"TherapeuticsMD, Inc."
TPI,"Tianyin Pharmaceutical Co., Inc."
IDI,"Tiger Media, Inc."
TLR,Timberline Resources Corporation
TGD,Timmons Gold Corp
TOF,Tofutti Brands Inc.
TMP,Tompkins Financial Corporation
TAT,Transatlantic Petroleum Ltd
TRXC,"TransEnterix, Inc."
TPLM,Triangle Petroleum Corporation
TRT,Trio-Tech International
HTM,U.S. Geothermal Inc.
UAMY,United States Antimony Corporation
UUU,"Universal Security Instruments, Inc."
UQM,UQM TECHNOLOGIES INC
URG,Ur Energy Inc
URZ,Uranerz Energy Corporation
UEC,Uranium Energy Corp.
VTG,Vantage Drilling Company
VSR,"Versar, Inc."
VII,"Vicon Industries, Inc."
VHC,VirnetX Holding Corp
VGZ,Vista Gold Corporation
VISI,"Volt Information Sciences, Inc."
EAD,Wells Fargo Advantage Income Opportunities Fund
ERC,Wells Fargo Advantage Multi-Sector Income Fund
ERH,Wells Fargo Advantage Utilities and High Income Fund
SBI,Western Asset Intermediate Muni Fund Inc
WRN,Western Copper and Gold Corporation
WYY,WidePoint Corporation
WTT,"Wireless Telecom Group,  Inc."
YUMA,"Yuma Energy, Inc."
YUMA^A,"Yuma Energy, Inc."
ZBB,ZBB Energy Corporation
